**************************************
p-y+M-theta model: M-theta curve for D=9-H=15-su=0+1.6z
This file is specified for the py curves of the NREL 5 MW monopile wind turbine
The first 5 lines are comments. The units: M(Nm),theta(rad)
**************************************
1          -QNumDataSets- Number of the data sets,i.e. the number of locations which have been given the M-theta curve
103              -QNumPnts		- the number of the points defined for the curve (must >=4)
30            - QPlasticIndex
0.2            - QLoading_frequency
100            -QN
1            - QOCR
6            - QGamma        -effective soil weight
270            - QSigmaRotation        -the effective soil stress at the pile rotation point
1            - QDamping_index         -0 denotes without the consideration of damping, 1 denotes with the consideration of damping
***** Data set 1 *********************
-65       - mDepth	- The depth of the M-theta spring (positive)-unused in FAST
       -0.33339   -1022285106.47
       -0.26899   -1022285106.47
       -0.21711   -1022285106.47
       -0.17533   -1022285106.47
       -0.14168   -1022285106.47
       -0.11458   -1022285106.47
       -0.09275   -1022285106.47
       -0.07517   -1022285106.47
       -0.06101   -1022285106.47
       -0.04960   -1022285106.47
       -0.04041   -1022285106.47
       -0.03301   -1021512800.29
       -0.02703   -1011326472.95
       -0.02218    -989856494.28
       -0.01824    -958283256.96
       -0.01504    -918234489.21
       -0.01242    -871595097.64
       -0.01028    -820316576.37
       -0.00853    -766256314.23
       -0.00709    -711063632.10
       -0.00590    -656115777.28
       -0.00493    -602497275.89
       -0.00412    -551011185.85
       -0.00346    -502210093.62
       -0.00291    -456436532.67
       -0.00245    -413865337.30
       -0.00207    -374543246.68
       -0.00175    -338423329.70
       -0.00149    -305393378.89
       -0.00127    -275298393.28
       -0.00108    -247957782.35
       -0.00093    -223178129.82
       -0.00080    -200762377.70
       -0.00068    -180516216.15
       -0.00059    -162252348.97
       -0.00051    -145793180.19
       -0.00044    -130972352.01
       -0.00039    -117635465.12
       -0.00034    -105640230.96
       -0.00029     -94856240.79
       -0.00026     -85164486.95
       -0.00023     -76456733.22
       -0.00020     -68634803.15
       -0.00017     -61609834.28
       -0.00015     -55301530.51
       -0.00014     -49637434.27
       -0.00012     -44552231.94
       -0.00011     -39987100.35
       -0.00009     -35889098.56
       -0.00008     -32210606.12
       -0.00007     -28908807.48
        0.00000             0.00
        0.00007      28908807.48
        0.00008      32210606.12
        0.00009      35889098.56
        0.00011      39987100.35
        0.00012      44552231.94
        0.00014      49637434.27
        0.00015      55301530.51
        0.00017      61609834.28
        0.00020      68634803.15
        0.00023      76456733.22
        0.00026      85164486.95
        0.00029      94856240.79
        0.00034     105640230.96
        0.00039     117635465.12
        0.00044     130972352.01
        0.00051     145793180.19
        0.00059     162252348.97
        0.00068     180516216.15
        0.00080     200762377.70
        0.00093     223178129.82
        0.00108     247957782.35
        0.00127     275298393.28
        0.00149     305393378.89
        0.00175     338423329.70
        0.00207     374543246.68
        0.00245     413865337.30
        0.00291     456436532.67
        0.00346     502210093.62
        0.00412     551011185.85
        0.00493     602497275.89
        0.00590     656115777.28
        0.00709     711063632.10
        0.00853     766256314.23
        0.01028     820316576.37
        0.01242     871595097.64
        0.01504     918234489.21
        0.01824     958283256.96
        0.02218     989856494.28
        0.02703    1011326472.95
        0.03301    1021512800.29
        0.04041    1022285106.47
        0.04960    1022285106.47
        0.06101    1022285106.47
        0.07517    1022285106.47
        0.09275    1022285106.47
        0.11458    1022285106.47
        0.14168    1022285106.47
        0.17533    1022285106.47
        0.21711    1022285106.47
        0.26899    1022285106.47
        0.33339    1022285106.47
