**************************************
p-y+M-theta model: M-theta curve for D=9-H=15-su=NaN+NaNz
This file is specified for the py curves of the NREL 5 MW monopile wind turbine
The first 5 lines are comments. The units: M(Nm),theta(rad)
**************************************
1          -QNumDataSets- Number of the data sets,i.e. the number of locations which have been given the M-theta curve
103              -QNumPnts		- the number of the points defined for the curve (must >=4)
30            - QPlasticIndex
0.2            - QLoading_frequency
100            -QN
1            - QOCR
6            - QGamma        -effective soil weight
270            - QSigmaRotation        -the effective soil stress at the pile rotation point
1            - QDamping_index         -0 denotes without the consideration of damping, 1 denotes with the consideration of damping
***** Data set 1  ********************
-65.00 - mDepth - Local depth of the m-th curve and corresponding damping ratio curve
-1.57505 -7323782553.21
-0.57505 -7323782553.21
-0.54446 -7320921700.65
-0.53216 -7318060848.09
-0.51512 -7312339142.97
-0.49173 -7300895732.73
-0.46004 -7278008912.25
-0.41788 -7232235271.29
-0.36331 -7140687989.38
-0.29545 -6957593425.55
-0.25013 -6774498861.72
-0.21605 -6591404297.89
-0.18892 -6408309734.06
-0.16657 -6225215170.23
-0.14771 -6042120606.40
-0.13154 -5859026042.56
-0.11750 -5675931478.73
-0.10518 -5492836914.90
-0.09430 -5309742351.07
-0.08462 -5126647787.24
-0.07596 -4943553223.41
-0.06820 -4760458659.58
-0.06120 -4577364095.75
-0.05488 -4394269531.92
-0.04915 -4211174968.09
-0.04396 -4028080404.26
-0.03924 -3844985840.43
-0.03495 -3661891276.60
-0.03105 -3478796712.77
-0.02750 -3295702148.94
-0.02426 -3112607585.11
-0.02132 -2929513021.28
-0.01864 -2746418457.45
-0.01621 -2563323893.62
-0.01401 -2380229329.79
-0.01201 -2197134765.96
-0.01021 -2014040202.13
-0.00859 -1830945638.30
-0.00713 -1647851074.47
-0.00584 -1464756510.64
-0.00468 -1281661946.81
-0.00367 -1098567382.98
-0.00278 -915472819.15
-0.00201 -732378255.32
-0.00135 -549283691.49
-0.00080 -366189127.66
-0.00036 -183094563.83
-0.00017 -91547281.92
-0.00008 -45773640.96
-0.00004 -22886820.48
-0.00002 -11443410.24
0.00000 0.00
0.00002 11443410.24
0.00004 22886820.48
0.00008 45773640.96
0.00017 91547281.92
0.00036 183094563.83
0.00080 366189127.66
0.00135 549283691.49
0.00201 732378255.32
0.00278 915472819.15
0.00367 1098567382.98
0.00468 1281661946.81
0.00584 1464756510.64
0.00713 1647851074.47
0.00859 1830945638.30
0.01021 2014040202.13
0.01201 2197134765.96
0.01401 2380229329.79
0.01621 2563323893.62
0.01864 2746418457.45
0.02132 2929513021.28
0.02426 3112607585.11
0.02750 3295702148.94
0.03105 3478796712.77
0.03495 3661891276.60
0.03924 3844985840.43
0.04396 4028080404.26
0.04915 4211174968.09
0.05488 4394269531.92
0.06120 4577364095.75
0.06820 4760458659.58
0.07596 4943553223.41
0.08462 5126647787.24
0.09430 5309742351.07
0.10518 5492836914.90
0.11750 5675931478.73
0.13154 5859026042.56
0.14771 6042120606.40
0.16657 6225215170.23
0.18892 6408309734.06
0.21605 6591404297.89
0.25013 6774498861.72
0.29545 6957593425.55
0.36331 7140687989.38
0.41788 7232235271.29
0.46004 7278008912.25
0.49173 7300895732.73
0.51512 7312339142.97
0.53216 7318060848.09
0.54446 7320921700.65
0.57505 7323782553.21
1.57505 7323782553.21
