**************************************
p-y+M-theta model: p-y curves for D=9-su=NaN+NaNz
This file is specified for the py curves of the NREL 5 MW monopile wind turbine
The first 5 lines are comments
**************************************
45            -NumDataSets		- Number of the data sets,i.e. the number of locations that contains p-y curve.
103              -NumPnts		- the number of the points defined for the curve (must >=4)
30            - PlasticIndex
0.2            - Loading_frequency
100            -N
1            - OCR
6            - Gamma        -effective soil weight
270            - SigmaRotation        -the effective soil stress at the pile rotation point
1            - Damping_index         -0 denotes without the consideration of damping, 1 denotes with the consideration of damping
***** Data set 1  ********************
-21 - LocalDepth - Local depth of the p-y curve and corresponding damping ratio curve
-1.24733 -3124931.26
-1.21501 -3120040.91
-1.16964 -3110260.22
-1.10621 -3090698.83
-1.01807 -3051576.06
-0.89692 -2973330.52
-0.80706 -2895084.98
-0.73363 -2816839.44
-0.67082 -2738593.90
-0.61567 -2660348.36
-0.56639 -2582102.82
-0.52182 -2503857.28
-0.48116 -2425611.74
-0.44381 -2347366.20
-0.40933 -2269120.66
-0.37736 -2190875.12
-0.34763 -2112629.58
-0.31991 -2034384.04
-0.29401 -1956138.50
-0.26979 -1877892.96
-0.24710 -1799647.42
-0.22584 -1721401.88
-0.20590 -1643156.34
-0.18720 -1564910.80
-0.16967 -1486665.26
-0.15324 -1408419.72
-0.13785 -1330174.18
-0.12345 -1251928.64
-0.10999 -1173683.10
-0.09743 -1095437.56
-0.08573 -1017192.02
-0.07487 -938946.48
-0.06480 -860700.94
-0.05550 -782455.40
-0.04694 -704209.86
-0.03910 -625964.32
-0.03196 -547718.78
-0.02549 -469473.24
-0.01969 -391227.70
-0.01453 -312982.16
-0.00999 -234736.62
-0.00606 -156491.08
-0.00274 -78245.54
-0.00130 -39122.77
-0.00063 -19561.39
-0.00031 -9780.69
-0.00015 -4890.35
0.00000 0.00
0.00015 4890.35
0.00031 9780.69
0.00063 19561.39
0.00130 39122.77
0.00274 78245.54
0.00606 156491.08
0.00999 234736.62
0.01453 312982.16
0.01969 391227.70
0.02549 469473.24
0.03196 547718.78
0.03910 625964.32
0.04694 704209.86
0.05550 782455.40
0.06480 860700.94
0.07487 938946.48
0.08573 1017192.02
0.09743 1095437.56
0.10999 1173683.10
0.12345 1251928.64
0.13785 1330174.18
0.15324 1408419.72
0.16967 1486665.26
0.18720 1564910.80
0.20590 1643156.34
0.22584 1721401.88
0.24710 1799647.42
0.26979 1877892.96
0.29401 1956138.50
0.31991 2034384.04
0.34763 2112629.58
0.37736 2190875.12
0.40933 2269120.66
0.44381 2347366.20
0.48116 2425611.74
0.52182 2503857.28
0.56639 2582102.82
0.61567 2660348.36
0.67082 2738593.90
0.73363 2816839.44
0.80706 2895084.98
0.89692 2973330.52
1.01807 3051576.06
1.10621 3090698.83
1.16964 3110260.22
1.21501 3120040.91
1.24733 3124931.26
1.27030 3127376.43
1.28660 3128599.02
1.32612 3129821.60
2.32612 3129821.60
***** Data set 4  ********************
-24 - LocalDepth - Local depth of the p-y curve and corresponding damping ratio curve
-2.54454 -4173095.47
-1.54454 -4173095.47
-1.49851 -4171465.36
-1.47953 -4169835.24
-1.45278 -4166575.01
-1.41514 -4160054.55
-1.36230 -4147013.63
-1.28841 -4120931.78
-1.18575 -4068768.09
-1.04465 -3964440.70
-0.93999 -3860113.31
-0.85446 -3755785.92
-0.78131 -3651458.54
-0.71708 -3547131.15
-0.65968 -3442803.76
-0.60777 -3338476.38
-0.56041 -3234148.99
-0.51691 -3129821.60
-0.47674 -3025494.22
-0.43951 -2921166.83
-0.40488 -2816839.44
-0.37260 -2712512.06
-0.34244 -2608184.67
-0.31422 -2503857.28
-0.28780 -2399529.90
-0.26303 -2295202.51
-0.23981 -2190875.12
-0.21804 -2086547.74
-0.19762 -1982220.35
-0.17848 -1877892.96
-0.16055 -1773565.58
-0.14378 -1669238.19
-0.12810 -1564910.80
-0.11348 -1460583.42
-0.09986 -1356256.03
-0.08720 -1251928.64
-0.07547 -1147601.25
-0.06464 -1043273.87
-0.05467 -938946.48
-0.04554 -834619.09
-0.03722 -730291.71
-0.02969 -625964.32
-0.02293 -521636.93
-0.01692 -417309.55
-0.01163 -312982.16
-0.00706 -208654.77
-0.00319 -104327.39
-0.00151 -52163.69
-0.00073 -26081.85
-0.00036 -13040.92
-0.00018 -6520.46
0.00000 0.00
0.00018 6520.46
0.00036 13040.92
0.00073 26081.85
0.00151 52163.69
0.00319 104327.39
0.00706 208654.77
0.01163 312982.16
0.01692 417309.55
0.02293 521636.93
0.02969 625964.32
0.03722 730291.71
0.04554 834619.09
0.05467 938946.48
0.06464 1043273.87
0.07547 1147601.25
0.08720 1251928.64
0.09986 1356256.03
0.11348 1460583.42
0.12810 1564910.80
0.14378 1669238.19
0.16055 1773565.58
0.17848 1877892.96
0.19762 1982220.35
0.21804 2086547.74
0.23981 2190875.12
0.26303 2295202.51
0.28780 2399529.90
0.31422 2503857.28
0.34244 2608184.67
0.37260 2712512.06
0.40488 2816839.44
0.43951 2921166.83
0.47674 3025494.22
0.51691 3129821.60
0.56041 3234148.99
0.60777 3338476.38
0.65968 3442803.76
0.71708 3547131.15
0.78131 3651458.54
0.85446 3755785.92
0.93999 3860113.31
1.04465 3964440.70
1.18575 4068768.09
1.28841 4120931.78
1.36230 4147013.63
1.41514 4160054.55
1.45278 4166575.01
1.47953 4169835.24
1.49851 4171465.36
1.54454 4173095.47
2.54454 4173095.47
***** Data set 5  ********************
-25 - LocalDepth - Local depth of the p-y curve and corresponding damping ratio curve
-2.73845 -5216369.34
-1.73845 -5216369.34
-1.68664 -5214331.70
-1.66527 -5212294.05
-1.63517 -5208218.76
-1.59280 -5200068.19
-1.53332 -5183767.03
-1.45016 -5151164.72
-1.33461 -5085960.11
-1.17580 -4955550.87
-1.05801 -4825141.64
-0.96174 -4694732.41
-0.87940 -4564323.17
-0.80710 -4433913.94
-0.74250 -4303504.71
-0.68407 -4173095.47
-0.63077 -4042686.24
-0.58181 -3912277.00
-0.53660 -3781867.77
-0.49469 -3651458.54
-0.45571 -3521049.30
-0.41937 -3390640.07
-0.38543 -3260230.84
-0.35367 -3129821.60
-0.32393 -2999412.37
-0.29606 -2869003.14
-0.26992 -2738593.90
-0.24541 -2608184.67
-0.22243 -2477775.44
-0.20088 -2347366.20
-0.18071 -2216956.97
-0.16183 -2086547.74
-0.14419 -1956138.50
-0.12772 -1825729.27
-0.11239 -1695320.04
-0.09815 -1564910.80
-0.08495 -1434501.57
-0.07275 -1304092.33
-0.06153 -1173683.10
